evaluation_run_id,evaluation_id,request_id,timestamp,user_id,session_id,repetition_index,configuration_id,test_case_id,test_case_description,provider,model,context_mode,context_enabled,memory_enabled,user_query,context_summary,generated_response,total_latency_ms,context_building_latency_ms,memory_retrieval_latency_ms,llm_generation_latency_ms,prompt_length_chars,response_length_chars,retrieved_memory_count,retrieved_memories_included,estimated_prompt_tokens,estimated_response_tokens,success,error_message,fallback_used,expected_behavior_notes,contextual_relevance_score,helpfulness_score,non_spoiler_score,clarity_score,correctness_score,comments
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_none_memory_false-rep1,ab2dadec-a407-4108-9a01-5f8fe40997a3,2026-05-31T15:50:59.105477+00:00,9001,9001,1,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,none,False,False,What should I do?,No gameplay context included for this evaluation request.,"Let's focus on the pipe above you, it looks like there's a small gap between two sections, see if you can fit your pipe through that opening.",5024.367,0.027,0.0,5024.252,4248,141,0,False,1062,35,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_none_memory_false-rep2,c8d4e0b8-16e6-44ee-a847-8afb3a0bedb8,2026-05-31T15:51:04.199861+00:00,9001,9001,2,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,none,False,False,What should I do?,No gameplay context included for this evaluation request.,"Let's take a closer look at the pipe junction you're trying to connect. You need to figure out how to route the pipes in a way that allows water to flow through while respecting the restrictions on each side. Try thinking about which pipes can be connected without violating any of the rules, and see if you can find a starting point for one of the sections.",2301.138,0.027,0.0,2301.01,4248,358,0,False,1062,90,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_none_memory_false-rep3,45f1b351-181d-4193-954f-3ba01023e18a,2026-05-31T15:51:06.610523+00:00,9001,9001,3,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,none,False,False,What should I do?,No gameplay context included for this evaluation request.,"It seems like you're stuck between two pipes, and you need to figure out how to get the ball through a small opening on one side. Look closely at the way the pipes are connected - there's a pattern here that can help you solve this part of the puzzle.",1806.439,0.027,0.0,1806.315,4248,251,0,False,1062,63,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_false-rep1,842c0135-222a-47d5-9f84-5b352e1c9a68,2026-05-31T15:51:08.485963+00:00,9001,9001,1,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,False,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.","You might want to try slot B first, since you need a curved pipe for it and both straight pipes are already available in slots A and C. Good eye on noticing those options!",1851.388,0.038,0.0,1851.206,6347,171,0,False,1587,43,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_false-rep2,880fee43-51dd-4473-88d4-d692d1d140bf,2026-05-31T15:51:10.436392+00:00,9001,9001,2,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,False,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.","Let's look at the available pipes and see if any match what you need for slot A. The straight short pipe could work, but take a closer look at your inventory too.",1356.694,0.04,0.0,1356.48,6347,162,0,False,1587,40,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_false-rep3,201c580c-ee3a-4092-9b45-0f5b8504e822,2026-05-31T15:51:11.865238+00:00,9001,9001,3,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,False,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.","You're close. Try connecting a pipe from slot A, and then see if you can fit the curved one into slot B.",1133.021,0.034,0.0,1132.839,6347,104,0,False,1587,26,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_true-rep1,388c8abc-bc04-4d04-81cb-e27775105a61,2026-05-31T15:51:13.075312+00:00,9001,9001,1,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,True,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.","Good eye on those slots, but remember: just being near a slot isn't enough - pipe shape and connection direction also need to match.",2244.99,0.036,377.923,1866.346,7273,132,5,True,1818,33,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_true-rep2,fbc24e74-172b-4a10-8f65-69ca8787876d,2026-05-31T15:51:15.390989+00:00,9001,9001,2,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,True,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.",Look closely at slot a's required pipe shape and try matching it with one of your available pipes. Good eye!,1411.565,0.035,248.939,1162.43,7273,108,5,True,1818,27,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-ollama_full_memory_true-rep3,d32d08b2-6a3c-40fa-aa3d-9506dd406e5d,2026-05-31T15:51:16.873849+00:00,9001,9001,3,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,llama3.1:8b,full,True,True,What should I do?,"Scene: PuzzleScene. Puzzle progress: {'correct_placements': 0, 'total_slots': 3, 'status': 'not_started'}.",You're close. Take a closer look at slot_a and think about which pipe shape would fit best in it.,1343.969,0.034,230.108,1113.661,7273,97,5,True,1818,24,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
73df681d-68c4-45e5-b6cf-cf233c8bd981,73df681d-68c4-45e5-b6cf-cf233c8bd981-initial_state-openai_none_memory_false-rep1,b60fd11e-47f9-46a7-a1fd-e7d32312e0a0,2026-05-31T15:51:18.312179+00:00,9001,9001,1,openai_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,openai,gpt-4.1-mini,none,False,False,What should I do?,No gameplay context included for this evaluation request.,Take a close look at how the pipes connect—sometimes a small twist can make the whole flow line up right. Try rotating one section and see what happens!,1459.447,0.027,0.0,1459.332,4248,152,0,False,1062,38,True,,False,Should orient the player toward inspecting pipes and slots without giving a full solution.,,,,,,
